# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 9935.321192 9935.371286 89933.501402 4967.660596 -1046.634502 11.913422 -nan -nan -nan
38913 10 9935.050688 9935.571659 89930.245335 4967.660596 -1046.695728 39.375716 -0.023640 0.000000 0.063934
39937 10 9935.611734 9934.930464 89930.585970 4967.660596 -1047.281263 40.005779 -0.021102 -0.000000 0.063650
40961 10 9934.309307 9934.128971 89933.020506 4967.660596 -1045.563618 40.730462 -0.021387 -0.000000 0.062836
41985 10 9935.311174 9935.311174 89931.086903 4967.660596 -1046.891648 40.633616 -0.022532 -0.000000 0.062168
43009 10 9934.679998 9934.539736 89932.269106 4967.660596 -1046.058986 41.118964 -0.022876 0.000000 0.061416
44033 10 9933.738243 9935.721939 89930.064999 4967.660596 -1045.257492 38.489619 -0.033194 0.000001 0.070474
45057 10 9934.750128 9933.858467 89934.703642 4967.660596 -1045.866405 38.642126 -0.029106 0.000000 0.071112
46081 10 9935.511547 9934.950502 89934.132578 4967.660596 -1046.775877 42.521579 -0.026922 0.000000 0.070724
47105 10 9934.970539 9935.521566 89930.696175 4967.660596 -1046.556579 39.934535 -0.029879 0.000000 0.070730
48129 10 9934.629904 9935.421379 89934.032391 4967.660596 -1045.807406 43.210641 -0.033565 0.000001 0.071214
49153 10 9935.070726 9935.271099 89935.044276 4967.660596 -1046.184776 43.349789 -0.034340 0.000001 0.070509
50177 10 9935.170912 9934.740110 89930.475765 4967.660596 -1046.803707 43.930872 -0.032369 0.000001 0.070147
51201 10 9934.609867 9933.978691 89930.766306 4967.660596 -1046.148041 41.471844 -0.029738 0.000000 0.070112
52225 10 9935.471472 9935.511547 89930.105074 4967.660596 -1047.178850 41.671105 -0.030040 0.000001 0.069417
53249 10 9934.720072 9935.902275 89929.624178 4967.660596 -1046.397394 45.212149 -0.034818 0.000001 0.071069
54273 10 9935.391323 9934.539736 89930.165186 4967.660596 -1047.083116 44.102303 -0.031226 0.000001 0.071703
55297 10 9935.140856 9935.671846 89929.413786 4967.660596 -1046.888309 44.521974 -0.033217 0.000001 0.071435
56321 10 9934.860334 9935.691883 89931.547762 4967.660596 -1046.339508 44.560935 -0.036142 0.000001 0.071674
57345 10 9936.323059 9934.740110 89934.904015 4967.660596 -1047.591842 46.296393 -0.029862 0.000001 0.075147
58369 10 9934.229158 9936.803955 89931.197109 4967.660596 -1045.677163 46.525708 -0.039210 0.000001 0.083097
59393 10 9934.569792 9934.479624 89930.215279 4967.660596 -1046.164738 45.703064 -0.038221 0.000001 0.082459
60417 10 9936.002462 9936.974272 89935.625359 4967.660596 -1047.155473 47.626649 -0.041020 0.000001 0.082510
61441 10 9934.990576 9934.710054 89932.158900 4967.660596 -1046.416318 47.747986 -0.039220 0.000001 0.082130
62465 10 9935.231024 9934.690016 89930.205261 4967.660596 -1046.900554 48.394747 -0.036640 0.000001 0.082116
63489 10 9934.449568 9933.748262 89931.177071 4967.660596 -1045.924290 47.366163 -0.033693 0.000001 0.082331
64513 10 9936.403208 9935.170912 89930.716213 4967.660596 -1048.146208 48.219978 -0.029188 0.000001 0.083755
65537 10 335.985999 1415.857984 4033.625330 4967.660596 74.862815 138.748783 -3.553247 0.000164 14.654740
66561 10 350.633289 1936.267596 4166.573034 4967.660596 73.360016 141.560699 -8.439358 0.000388 25.103752
67585 10 293.416685 1463.256295 3793.167316 4967.660596 95.444496 179.670582 -11.640839 0.000532 28.334645
68609 10 299.447922 1468.786599 3912.058831 4967.660596 101.953290 148.166314 -14.596154 0.000664 30.793677
69633 10 317.040701 1631.499761 4035.088055 4967.660596 96.075672 150.334810 -17.771334 0.000802 33.443847
70657 10 363.437145 1514.932577 4276.107114 4967.660596 71.303963 145.813076 -20.207474 0.000907 34.814772
71681 10 295.600754 1466.191765 3696.847856 4967.660596 82.315590 150.999370 -22.508539 0.001005 35.972014
72705 10 300.630125 1456.814293 3664.908347 4967.660596 73.178566 144.904680 -24.583693 0.001092 36.844035
73729 10 294.829317 1508.660892 3647.696278 4967.660596 77.711456 144.874621 -26.659158 0.001177 37.702057
74753 10 295.350288 1523.969414 3692.700128 4967.660596 82.133028 147.240141 -28.609100 0.001257 38.418582
75777 10 317.892287 1527.005070 3862.877197 4967.660596 75.994925 149.148155 -30.343639 0.001326 38.926832
76801 10 305.719608 1574.152914 3940.161190 4967.660596 98.107235 150.997149 -32.099079 0.001396 39.453302
77825 10 411.747155 1784.174220 4893.497418 4967.660596 86.225096 156.160166 -33.996051 0.001470 40.109921
78849 10 353.268199 1589.581661 4175.529722 4967.660596 71.427526 149.698089 -35.363982 0.001523 40.324469
79873 10 329.333604 1661.756134 3977.340461 4967.660596 76.000491 153.074367 -36.869506 0.001580 40.645480
80897 10 316.780215 1548.715520 3865.742536 4967.660596 77.548931 151.675086 -37.975269 0.001622 40.701269
81921 10 342.868823 1589.561624 4011.694469 4967.660596 64.778471 147.864666 -39.013779 0.001660 40.725644
82945 10 321.629250 1613.045378 3820.868928 4967.660596 67.175159 147.129951 -40.067198 0.001699 40.764456
83969 10 311.360117 1587.858450 3719.650341 4967.660596 67.338797 149.253904 -40.979584 0.001732 40.735223
84993 10 342.488114 1594.991741 4009.680717 4967.660596 64.977731 147.213452 -41.736839 0.001759 40.641806
86017 10 346.455506 1598.087509 4043.183138 4967.660596 64.292009 146.978572 -42.407385 0.001782 40.520048
87041 10 311.109650 1615.900698 3727.565087 4967.660596 68.496510 151.105131 -43.131398 0.001808 40.424485
88065 10 340.875108 1675.291353 4011.464039 4967.660596 66.968106 155.187201 -43.846643 0.001832 40.330733
89089 10 344.882575 1930.947684 4051.528687 4967.660596 66.966993 152.536708 -45.094942 0.001875 40.540620
90113 10 320.577290 1653.861425 3828.953992 4967.660596 69.242344 154.176416 -45.622663 0.001893 40.387299
91137 10 343.640260 1678.086561 4027.604111 4967.660596 65.689057 153.128922 -46.082773 0.001908 40.219145
92161 10 336.286559 1716.628370 3990.605176 4967.660596 69.748843 156.783506 -46.584982 0.001924 40.067469
93185 10 329.293530 1678.176729 3883.786154 4967.660596 65.650095 166.990303 -46.945429 0.001936 39.883408
94209 10 335.144431 1690.539763 3952.313833 4967.660596 66.763280 155.562341 -47.260655 0.001946 39.694063
95233 10 340.083634 1640.015628 4004.420917 4967.660596 67.064953 155.845093 -47.391381 0.001950 39.483054
96257 10 319.144621 1653.490734 3815.839558 4967.660596 69.377039 156.360486 -47.552608 0.001956 39.278405
97281 10 341.446172 1784.835452 4119.124629 4967.660596 78.295879 161.152764 -47.909780 0.001967 39.109760
98305 10 444.528232 1753.587231 4979.667968 4967.660596 59.376183 158.586929 -47.910293 0.001967 38.903374
99329 10 337.969695 1741.304346 4013.327511 4967.660596 70.403396 158.679263 -48.078230 0.001972 38.709522
100353 10 316.860365 1738.368877 3814.487038 4967.660596 71.764821 159.585384 -48.237841 0.001977 38.517997
101377 10 327.319853 1759.388039 3932.176313 4967.660596 73.219754 163.347958 -48.373103 0.001981 38.327185
102401 10 336.426820 1748.367506 3988.591424 4967.660596 69.369247 161.190609 -48.419820 0.001982 38.133874
103425 10 343.860671 1750.281071 4073.930425 4967.660596 70.591524 159.550891 -48.413971 0.001982 37.942738
104449 10 419.070800 1744.690655 4758.205345 4967.660596 63.055260 160.389163 -48.200827 0.001976 37.770542
105473 10 445.179445 1783.442857 4987.282154 4967.660596 59.498634 162.794772 -47.986203 0.001970 37.601493
106497 10 351.795455 1733.469749 4124.975531 4967.660596 67.446776 162.906037 -47.833574 0.001965 37.427006
107521 10 335.154450 1729.091592 3983.892669 4967.660596 70.260908 162.706767 -47.676105 0.001961 37.255795
108545 10 345.343434 1763.786234 4097.544422 4967.660596 71.567787 160.245519 -47.538867 0.001957 37.085016
109569 10 456.480501 1823.767990 5083.741875 4967.660596 57.659652 160.283431 -47.269424 0.001950 36.937223
110593 10 357.225572 1836.251248 4208.931956 4967.660596 70.741804 161.594707 -47.198105 0.001948 36.766170
111617 10 374.918537 1761.972855 4353.751780 4967.660596 67.174046 161.858543 -46.913910 0.001940 36.627023
112641 10 384.035523 1823.707878 4456.332906 4967.660596 68.441963 164.418875 -46.710001 0.001934 36.475026
113665 10 473.301842 2215.307494 5320.873692 4967.660596 65.317253 182.936772 -47.064575 0.001944 36.359065
114689 10 366.843492 1836.481678 4268.392741 4967.660596 66.661980 160.903425 -46.847856 0.001938 36.213903
115713 10 352.606967 1645.666156 4149.972104 4967.660596 69.322493 162.828115 -46.271346 0.001923 36.187703
116737 10 363.166641 1788.311929 4243.756840 4967.660596 68.010048 167.523538 -45.934796 0.001914 36.073996
117761 10 359.539884 1782.080319 4203.842473 4967.660596 67.604848 165.780287 -45.574735 0.001905 35.969573
118785 10 333.992284 1670.462355 3960.879792 4967.660596 68.995216 169.912419 -45.038004 0.001891 35.934393
119809 10 367.544798 1832.153614 4297.296594 4967.660596 69.094290 171.546594 -44.726910 0.001883 35.820424
120833 10 374.207212 1864.744336 4374.019542 4967.660596 70.216381 173.262018 -44.444296 0.001876 35.701455
121857 10 364.418975 1899.008175 4277.349429 4967.660596 70.351076 177.396384 -44.221608 0.001871 35.571486
122881 10 367.164089 1911.771956 4320.710218 4967.660596 72.118814 178.365970 -43.995046 0.001865 35.444362
123905 10 368.977468 1852.872216 4357.057940 4967.660596 74.142585 179.211993 -43.639190 0.001857 35.352868
124929 10 373.936708 1946.666972 4416.148035 4967.660596 75.197884 181.314803 -43.424042 0.001851 35.227358
125953 10 384.736830 2170.904765 4576.025914 4967.660596 80.961957 188.340125 -43.560933 0.001855 35.091238
126977 10 393.753630 1967.996712 4622.933311 4967.660596 76.155223 182.434680 -43.294968 0.001848 34.980943
128001 10 465.888029 1985.839957 5224.273710 4967.660596 62.821492 186.669280 -42.916581 0.001839 34.906365
129025 10 376.220964 1969.399326 4408.153139 4967.660596 71.771500 185.098523 -42.649045 0.001833 34.800176
130049 10 390.978459 2010.996829 4553.824549 4967.660596 71.559995 185.625069 -42.408678 0.001828 34.689314
